GCA_004327225.1,Pseudomonas sp. FRB 230
GCA_023501965.1,Streptomyces sp. 43Y-GA-1
GCA_023534745.1,Streptomyces sp. 35G-GA-8
GCA_023336905.1,Bacteroides sp. ET71
GCA_023336935.1,Phascolarctobacterium sp. ET69
GCA_023337025.1,Mediterranea sp. ET5
GCA_023277365.1,Stenotrophomonas sp. NY11291
GCA_023330645.1,Streptomyces sp. HU2014
GCA_032883035.1,Mycobacterium sp. 21AC1
GCA_032883055.1,Mycobacterium sp. 29Ha
GCA_023380025.1,Sphingomonas glaciei
GCA_023922585.1,Aliidiomarina quisquiliarum
GCA_023554615.1,Streptomyces sp. AS02
GCA_023703325.1,Streptomyces meridianus
GCA_023336205.1,Pseudanabaena sp. Salubria-1
GCA_024281215.1,Candidatus Thiovulum karukerense
GCA_024519285.1,Cohnella sp. WQ 127256
GCA_024494405.1,Fictibacillus sp. WQ 8-8
GCA_030464835.1,Paraburkholderia sp. WS6
GCA_024347855.1,Methylorubrum sp. GM97
GCA_024160055.1,Bacillaceae bacterium OS4b
GCA_023241665.1,Pseudomonas morbosilactucae
GCA_023217965.1,Prevotella sp. E13-27
GCA_024220585.1,Dyadobacter diqingensis
GCA_943181405.1,Cellulosimicrobium sp. Marseille-Q4280
GCA_943181415.1,Microbacterium sp. Marseille-Q6648
GCA_943181425.1,Staphylococcus sp. Marseille-Q6910
GCA_943181435.1,Neisseria sp. Marseille-Q6792
GCA_028684745.1,Desulfotomaculaceae bacterium
GCA_023330685.1,Conexibacter sp. DBS9H8
GCA_023330665.1,Conexibacter sp. S30A1
GCA_023277115.1,Acidithiobacillus sp. S30A2
GCA_023223505.1,Neorhizobium turbinariae
GCA_023195895.1,Paenibacillus mellifer
GCA_030323045.1,Thermosynechococcus sp. B3
GCA_030322985.1,Thermosynechococcus sp. B1
GCA_023223525.1,Roseomonas acroporae
GCA_025820815.1,Halomonas sp. ZZQ-149
GCA_024758705.1,Sphingomonas sp. SUN019
GCA_024758725.1,Sphingomonas sp. SUN039
GCA_023273855.1,Seonamhaeicola sp. ML3
GCA_023204875.1,Prevotella sp. E15-22
GCA_023218075.1,Rhodococcus sp. HM1
GCA_030851345.1,Marinifilum sp. D714
GCA_023272795.1,Flavobacterium humidisoli
GCA_024055665.1,Ideonella oryzae
GCA_023196085.1,Spirosoma liriopis
GCA_030464885.1,Caballeronia sp. SEWSISQ10-4 2
GCA_030464785.1,Paraburkholderia sp. SEWSISQ10-3 4
GCA_030464795.1,Paraburkholderia sp. SECH2
GCA_030464945.1,Paraburkholderia sp. CHISQ3
GCA_024704895.1,Bacteroides muris (ex Fokt et al. 2023)
GCA_026544265.1,Pantoea sp. GM_Pan_1
GCA_026544225.1,Pantoea sp. GM_Pan_2
GCA_026541045.1,Pantoea sp. GM_Pan_3
GCA_026541005.1,Pantoea sp. GM_Pan_4
GCA_026544235.1,Pantoea sp. GM_Pan_5
GCA_026544185.1,Pseudomonas sp. GM_Psu_1
GCA_026541025.1,Pseudomonas sp. GM_Psu_2
GCA_026540985.1,Sphingomonas sp. GC_Shp_1
GCA_026540965.1,Sphingomonas sp. GC_Shp_2
GCA_026540945.1,Sphingomonas sp. GC_Shp_3
GCA_026540915.1,Sphingomonas sp. GC_Shp_4
GCA_026540895.1,Sphingomonas sp. GM_Shp_1
GCA_026540875.1,Sphingomonas sp. GM_Shp_2
GCA_026540855.1,Sphingomonas sp. GC_Shp_5
GCA_026540835.1,Sphingomonas sp. GC_Shp_6
GCA_026540815.1,Methylobacterium sp. GC_Met_1
GCA_026540795.1,Methylobacterium sp. GC_Met_2
GCA_026540775.1,Methylobacterium sp. GC_Met_3
GCA_026540735.1,Curtobacterium sp. GC_Cur_1
GCA_026540755.1,Curtobacterium sp. GC_Cur_2
GCA_026544205.1,Curtobacterium sp. GC_Cur_3
GCA_026540695.1,Streptomyces sp. GC_Strep_1
GCA_026540675.1,Bacillus sp. GC_Bacil_1
GCA_026540655.1,Bacillus sp. GM_Baccil_2
GCA_026540525.1,Chryseobacterium sp. GM_Chr_1
GCA_026540445.1,Chryseobacterium sp. GM_Chr_2
GCA_026540715.1,Chryseobacterium sp. GM_Chr_3
GCA_023238625.1,Agarivorans sp. TSD2052
GCA_030322965.1,Thermosynechococcus sp. B0
GCA_023195925.1,Aquimarina acroporae
GCA_023195695.1,Aliiroseovarius sp. S1339
GCA_023195575.1,Aliiroseovarius sp. S2029
GCA_030511745.1,Paraburkholderia sp. SECH4
GCA_023242215.1,Lysinibacillus sp. Ag94
GCA_021173225.1,Phycisphaerales bacterium PN19_bin_20
GCA_023630275.1,Streptomyces sp. 5-6(2022)
GCA_023276405.1,Paenibacillus hamazuiensis
GCA_023115425.1,Synechococcus sp. A10-1-5-1
GCA_027923465.1,Vallitalea longa
GCA_023094165.1,Crossiella sp. S99.2
GCA_023094225.1,Crossiella sp. S99.1
GCA_030272875.1,Pseudomonas sp. BJa5
GCA_030272895.1,Pseudomonas sp. BGr12
GCA_030272905.1,Pseudomonas sp. BAgro211
GCA_023094205.1,Pseudomonas sp. MB04B
GCA_023650495.1,Alkalimarinus coralli
GCA_023094245.1,Halomonas getboli
GCA_023100845.1,Gordonia sp. PP30
GCA_023276435.1,Sphaerisporangium perillae
GCA_023221615.1,Erysipelothrix sp. Poltava
GCA_023272715.1,Pectobacterium sp. 21LCBS03
GCA_023374955.1,Salmonella sp. WGH-01
GCA_027718005.1,Patescibacteria group bacterium AH-259-L07
GCA_027717985.1,Patescibacteria group bacterium AH-259-L05
GCA_027717925.1,Acidobacteria bacterium AH-259-G07
GCA_027717865.1,Acidobacteria bacterium AH-259-O06
GCA_027717875.1,Acidobacteria bacterium AH-259-L09
GCA_027717795.1,Acidobacteria bacterium AH-259-D05
GCA_027717775.1,Acidobacteria bacterium AH-259-A15
GCA_027717765.1,Nitrospinae bacterium AH-259-F20
GCA_027717655.1,Acidobacteriia bacterium AH_259_A11_L15
GCA_027717645.1,Desulfobacterota bacterium AH_259_B03_O07
GCA_027717595.1,Nitrospinae bacterium AH_259_B05_G02_I21
GCA_027717545.1,Nitrospiraceae bacterium AH_259_D15_M11_P09
GCA_015708085.1,Arthrobacter terrae
GCA_003287455.1,Faecalibacterium hattorii
GCA_030295155.1,Escherichia sp. 10290
GCA_023846195.1,Spiroplasma endosymbiont of Lariophagus distinguendus
GCA_023218005.1,Gordonia sp. C13
GCA_023217995.1,Agromyces sp. C10
GCA_023277215.1,Pseudomonas sp. MWU13-2924
GCA_023242365.1,Pseudomonas sp. MWU13-2100
GCA_023242315.1,Pseudomonas sp. MWU13-2105
GCA_023168145.1,Sporosarcina sp. NCCP-2222
GCA_025643395.1,Curtobacterium sp. Arg-1
GCA_947311905.1,Alteromonas sp. CyTr2
GCA_023893635.1,Fructobacillus apis
GCA_023700755.1,Allorhizobium sonneratiae
GCA_023544715.1,Pseudomonas sp. NW5
GCA_023544865.1,Phaeovulum sp. NW3
GCA_030696025.1,Phaeovulum sp.
GCA_023051165.1,Veillonella sp. KGMB01456
GCA_023168165.1,Niallia sp. NCCP-28
GCA_026011735.1,Dietzia sp. NCCP-2495
GCA_026011695.1,Sporosarcina sp. NCCP-2378
GCA_023707945.1,Sporosarcina sp. NCCP-2331
GCA_023243025.1,Microbacteriaceae bacterium K1510
GCA_940670685.1,Anaeropeptidivorans aminofermentans
GCA_940670765.1,Streptomyces sp. A 4/2
GCA_024519235.1,Ornithinimicrobium cryptoxanthini
GCA_027478655.1,Ornithinimicrobium sp. HY1745
GCA_024519175.1,Ornithinimicrobium sp. HY1793
GCA_023051145.1,Williamsia sp. DF01-3
GCA_015257555.2,Candidatus Nanosynbacter sp. HMT-348_TM7c-JB
GCA_023634065.1,Microbulbifer sp. GX H0434
GCA_023337835.1,Lysinibacillus sp. Bpr_S20
GCA_023650955.1,Thermosynechococcus sp. HN-54
GCA_021405265.1,Leptolyngbya sp. PL-A2
GCA_021405305.1,Leptolyngbya sp. PL-A3
GCA_030265685.1,Bacteroidales bacterium OttesenSCG-928-M11
GCA_030265985.1,Bacteroidales bacterium OttesenSCG-928-L03
GCA_030266165.1,Bacteroidales bacterium OttesenSCG-928-J19
GCA_030267205.1,Bacteroidales bacterium OttesenSCG-928-A17
GCA_030266945.1,Clostridiaceae bacterium OttesenSCG-928-D20
GCA_030266345.1,Bacteroidales bacterium OttesenSCG-928-I14
GCA_023022965.1,Ectobacillus sp. JY-23
GCA_021560055.1,Pseudomonas sp. BC42
GCA_023017105.1,Halalkalibacter sp. APA_J-10(15)
GCA_023016265.1,Blastococcus sp. PRF04-17
GCA_023243005.1,Frankia sp. Cpl3
GCA_023242985.1,Frankia sp. Mgl5
GCA_002993045.1,Arcobacter cryaerophilus gv. pseudocryaerophilus
GCA_002993025.1,Arcobacter cryaerophilus gv. crypticus
GCA_028048155.1,Pantoea leporis
GCA_023210535.1,Streptomyces sp. WAC00303
GCA_023096395.1,Streptomyces sp. WAC00276
GCA_023101345.1,Hymenobacter sublimis
GCA_022664535.1,Sphingobium sp. Sx8-8
GCA_023253025.1,Microcystis panniformis NKJ.11
GCA_023253215.1,Cylindrospermopsis raciborskii MYJ.16
GCA_023264255.1,Cyanobium sp. BSH.17
GCA_023264315.1,Nodosilinea sp. BSH.14
GCA_023264365.1,Cyanobium sp. BSH.1
GCA_023161965.1,Anaerosoma tenue
GCA_023100825.1,Nocardioidaceae bacterium SCSIO 66511
GCA_023051225.1,Sphingobium agri
GCA_023051175.1,Alcanivorax quisquiliarum
GCA_023101325.1,Bacillus sp. PGP15
GCA_025727575.1,Sphingopyxis sp. GC21
GCA_023017545.1,Salmonella sp. 17E42
GCA_023016565.1,Salmonella sp. 17E623
GCA_023016685.1,Salmonella sp. 17E603
GCA_023016725.1,Salmonella sp. 17E624
GCA_023016735.1,Salmonella sp. 17E530
GCA_023016665.1,Salmonella sp. 17E11
GCA_023017465.1,Salmonella sp. 17E74
GCA_023017505.1,Salmonella sp. 17E465
GCA_023017305.1,Salmonella sp. 17E594
GCA_023017425.1,Salmonella sp. 16E257
GCA_023016645.1,Salmonella sp. 16E421
GCA_023016585.1,Salmonella sp. 16E136
GCA_023016605.1,Salmonella sp. 16E108
GCA_023017515.1,Salmonella sp. 16E460
GCA_023017565.1,Salmonella sp. 15E399
GCA_023016885.1,Salmonella sp. 15E51
GCA_023016945.1,Salmonella sp. 15E133
GCA_023016965.1,Salmonella sp. 15E126
GCA_023017445.1,Salmonella sp. 15E418
GCA_023016625.1,Salmonella sp. 15E557
GCA_023017485.1,Salmonella sp. 15E66
GCA_023017385.1,Salmonella sp. 15E65
GCA_023016925.1,Salmonella sp. 15E227
GCA_023016985.1,Salmonella sp. 15E179
GCA_023017365.1,Salmonella sp. L-S2971
GCA_023017225.1,Salmonella sp. L-S2251
GCA_023017185.1,Salmonella sp. L-S2359
GCA_023017345.1,Salmonella sp. L-S3606
GCA_023017025.1,Salmonella sp. 14ESS1724
GCA_023017115.1,Salmonella sp. L-S2618
GCA_023017625.1,Salmonella sp. 14ESS1484
GCA_023017245.1,Salmonella sp. L-S2816
GCA_023017595.1,Salmonella sp. L-S3099
GCA_023017395.1,Salmonella sp. L-S3112
GCA_023017645.1,Salmonella sp. 14ESS1282
GCA_023017065.1,Salmonella sp. L-S2806
GCA_023017145.1,Salmonella sp. L-S2906
GCA_023221895.1,Salmonella sp. 14ESS1015
GCA_023017285.1,Salmonella sp. L-S2921
GCA_023017325.1,Salmonella sp. S-L-S2792
GCA_023016825.1,Salmonella sp. 14ESS1566
GCA_023016905.1,Salmonella sp. L-S2809
GCA_023017045.1,Salmonella sp. L-S1857
GCA_023017265.1,Salmonella sp. L-S2353
GCA_023017085.1,Salmonella sp. L-S2402
GCA_023016865.1,Salmonella sp. L-S2638
GCA_023017005.1,Salmonella sp. L-S2582
GCA_023016835.1,Salmonella sp. L-S1477
GCA_023017585.1,Salmonella sp. L-S1409
GCA_023017665.1,Salmonella sp. S-L-S1349
GCA_023017685.1,Salmonella sp. L-S1178
GCA_025195095.1,Paracoccus sp. YLB-12
GCA_025195085.2,Vibrio intestinalis
GCA_022983135.1,Agrococcus sp. SCSIO52902
GCA_023156505.1,Roseibium sp. CAU 1639
GCA_023156585.1,Subsaxibacter sp. CAU 1640
GCA_023156535.1,Lysobacter sp. CAU 1642
GCA_023156515.1,Microbulbifer sp. CAU 1566
GCA_023261905.1,Cyanobacteria bacterium LJ.18
GCA_023253535.1,Cyanobacteria bacterium LJ.22
GCA_023258455.1,Cyanobacteria bacterium HJH.14
GCA_029243955.1,Candidatus Marinamargulisbacteria bacterium
GCA_030447685.1,Armatimonadaceae bacterium
GCA_023242475.1,Pseudomonas sp. MWU15-20650
GCA_023050955.1,Anaerobiospirillum sp. NML120511
GCA_023050975.1,Anaerobiospirillum sp. NML02-A-032
GCA_023051105.1,Anaerobiospirillum sp. NML120449
GCA_023050945.1,Anaerobiospirillum sp. NML120448
GCA_023062615.1,Brachybacterium sp. Marseille-Q7125
GCA_022953095.1,Qipengyuania sp. 127-1
GCA_022953055.1,Mucilaginibacter straminoryzae
GCA_023023025.1,Amycolatopsis sp. WQ 127309
GCA_023230605.1,Sulfurospirillaceae bacterium
GCA_023155275.1,Streptomyces rhizoryzae
GCA_022965755.1,Pseudoxanthomonas sp. F37
GCA_023337795.1,Lysinibacillus sp. BPa_S21
GCA_013151935.1,Candidatus Manganitrophaceae bacterium
GCA_005239925.1,Candidatus Troglogloeales bacterium
GCA_023556315.2,Psychroserpens ponticola
GCA_024704725.1,Shinella sp. CPCC 101442
GCA_023634005.1,Bowdeniella massiliensis
GCA_022989505.1,Escherichia coli O21:H2
GCA_022921115.1,Halobacillus sp. SSHM10-5
GCA_022919835.1,Halobacillus sp. SSTM10-2
GCA_022919095.1,Halobacillus sp. SSBR10-3
GCA_022919115.1,Gracilibacillus caseinilyticus
GCA_022919575.1,Gracilibacillus salinarum
GCA_022921055.1,Hymenobacter volaticus
GCA_022919335.1,Hymenobacter sp. 5516J-16
GCA_022919455.1,Hymenobacter sp. 5414T-23
GCA_022921095.1,Hymenobacter aerilatus
GCA_022921075.1,Hymenobacter sp. 5317J-9
GCA_022919135.1,Hymenobacter cellulosivorans
GCA_022919215.1,Hymenobacter cellulosilyticus
GCA_022919155.1,Leucobacter allii
GCA_022919175.1,Leucobacter rhizosphaerae
GCA_022919715.1,Agromyces sp. H17E-10
GCA_030265885.1,Ruminococcaceae bacterium OttesenSCG-928-L11
GCA_022900195.1,Blautia sp. NSJ-159
GCA_022869435.1,Aeromonas sp. LsrichE-8G
GCA_024584215.1,Pseudomonas sp. LJDD11
GCA_023273835.1,Streptomyces sp. LRE541
GCA_022869005.1,Corynebacterium kalidii
GCA_023096305.1,Exiguobacterium sp. 17-1
GCA_022867625.1,Lachnospiraceae bacterium NSJ-143
GCA_022898935.1,Paenibacillus mangrovi
GCA_030167965.1,Streptomyces sp. 2P-4
GCA_023913295.1,Bacillus sp. 10017
GCA_023242305.1,Curtobacterium sp. MWU13-2055
GCA_016458825.1,Miniphocaeibacter halophilus
GCA_017298635.1,Alicyclobacillus mengziensis
GCA_022900215.1,Blautia sp. NSJ-166
GCA_022900055.1,Blautia sp. NSJ-165
GCA_022867925.1,Caldibacillus sp. NES_3
GCA_022867885.1,Lederbergia sp. NSJ-179
GCA_022867805.1,Cuneatibacter sp. NSJ-177
GCA_023273895.1,Sphingobacterium sp. PCS056
GCA_023273875.1,Pseudarthrobacter sp. SSS035
GCA_022867815.1,Blautia sp. NSJ-175
GCA_022868965.1,Blautia sp. NSJ-140
GCA_022867865.1,Phaeobacter sp. J2-8
GCA_022867935.1,Blautia sp. NSJ-157
GCA_025397915.1,Microbaculum sp. A6E488
GCA_025755255.1,Roseobacter sp. WL0113
GCA_022919075.1,Nocardioides sp. W7
GCA_023509015.1,Pseudomonas sp. PIA16
GCA_023706045.1,Kangiella sp. TOML190
GCA_030266745.1,Desulfococcaceae bacterium OttesenSCG-928-F15
GCA_030265745.1,Deltaproteobacteria bacterium OttesenSCG-928-M10
GCA_030265795.1,Bacteroidales bacterium OttesenSCG-928-M06
GCA_030267035.1,Peptostreptococcaceae bacterium OttesenSCG-928-C18
GCA_030265845.1,Christensenellaceae bacterium OttesenSCG-928-L17
GCA_030266265.1,Lachnospiraceae bacterium OttesenSCG-928-J05
GCA_030266395.1,Selenomonadales bacterium OttesenSCG-928-I06
GCA_030266725.1,Paludibacteraceae bacterium OttesenSCG-928-F17
GCA_030266795.1,Lachnospiraceae bacterium OttesenSCG-928-E19
GCA_030269625.1,Oxalobacter sp. OttesenSCG-928-P03
GCA_030265445.1,Desulfovibrio sp. OttesenSCG-928-O18
GCA_030265485.1,Parabacteroides sp. OttesenSCG-928-O15
GCA_030265565.1,Parabacteroides sp. OttesenSCG-928-N08
GCA_030265645.1,Bacteroides sp. OttesenSCG-928-M17
GCA_030266065.1,Parabacteroides sp. OttesenSCG-928-K15
GCA_030266145.1,Bacteroides sp. OttesenSCG-928-J23
GCA_030266185.1,Parabacteroides sp. OttesenSCG-928-J18
GCA_030266205.1,Tyzzerella sp. OttesenSCG-928-J15
GCA_030266385.1,Desulfovibrio sp. OttesenSCG-928-I05
GCA_030266465.1,Parabacteroides sp. OttesenSCG-928-G21
GCA_030266495.1,Desulfovibrio sp. OttesenSCG-928-G11
GCA_030266575.1,Parabacteroides sp. OttesenSCG-928-G07
GCA_030266625.1,Parabacteroides sp. OttesenSCG-928-G06
GCA_030266685.1,Bacteroides sp. OttesenSCG-928-F21
GCA_030266695.1,Desulfovibrio sp. OttesenSCG-928-F20
GCA_030266765.1,Desulfovibrio sp. OttesenSCG-928-F07
GCA_030266885.1,Dysgonomonas sp. OttesenSCG-928-D17
GCA_030267065.1,Desulfovibrio sp. OttesenSCG-928-C06
GCA_030267085.1,Parabacteroides sp. OttesenSCG-928-B22
GCA_022869485.1,Lachnospiraceae bacterium NSJ-171
GCA_023079515.1,Franconibacter sp. IITDAS19
GCA_023100705.1,Bacillus sp. H8-1
GCA_022832375.1,Novosphingobium beihaiensis
GCA_028464045.1,Streptomyces sp. JCM 35825
GCA_022869825.1,Clostridium sp. BJN0001
GCA_023634025.1,Hanstruepera flava
GCA_025985425.1,Entomomonas sp. E2T0
GCA_027943725.1,Nitrosophilus kaiyonis
GCA_025857195.1,Leisingera thetidis
GCA_022819285.1,Acinetobacter sp. PK01
GCA_022815905.2,Staphylococcus sp. NRL 16/872
GCA_022815865.1,Staphylococcus sp. NRL 19/737
GCA_022815835.1,Staphylococcus sp. NRL 18/288
GCA_022815825.1,Staphylococcus sp. NRL 21/187
GCA_025458755.1,Methylotetracoccus sp.
GCA_022818885.1,Novosphingobium mangrovi (ex Hu et al. 2023)
GCA_022832385.1,Novosphingobium album
GCA_022832435.1,Novosphingobium organovorum
GCA_028538045.1,Sphingobium sp. AntQ-1
GCA_022952855.1,Pseudomonas sp. RGM2987
GCA_022836805.1,Pseudomonas sp. RGM 3321
GCA_023276655.1,Olsenella intestinalis
GCA_022869105.1,Streptomyces sp. BJ20
GCA_030651575.1,Phaeospirillum sp.
GCA_030153265.1,Caldanaerobacter sp.
GCA_023161905.1,Pseudoalteromonas sp. 2CM41L
GCA_023161845.1,Pseudoalteromonas sp. 2CM39R
GCA_023161825.1,Vibrio sp. 2CM40D
GCA_023161865.1,Pseudoalteromonas sp. 2CM36K
GCA_023161885.1,Pseudoalteromonas sp. 2CM37A
GCA_023161925.1,Pseudoalteromonas sp. 2CM32C
GCA_023161935.1,Pseudoalteromonas sp. 2CM28B
GCA_009646355.1,Rhodocyclus gracilis
GCA_022811725.1,Mucilaginibacter sp. SMC90
GCA_022811705.1,Agromyces larvae
GCA_031570565.1,Nonomuraea sp. 3-1Str
GCA_022811685.1,Chryseobacterium suipulveris
GCA_022811665.1,Chryseobacterium oryzae
GCA_023168385.1,Streptomyces sp. PLM4
GCA_023168365.1,Enterococcus sp. PLM3
GCA_023168345.1,Lysinibacillus sp. PLM2
GCA_023168325.1,Tsukamurella sp. PLM1
GCA_023072595.1,Streptomyces sp. XM4193
GCA_023072675.1,Streptomyces sp. XM83C
GCA_023072755.1,Streptomyces sp. XM4011
GCA_023072605.1,Brevibacterium sp. R8603A2
GCA_023072705.1,Micromonospora sp. R42106
GCA_023072695.1,Micromonospora sp. R42004
GCA_023072725.1,Micromonospora sp. R42003
GCA_023072735.1,Micrococcus sp. XM4230B
GCA_023072805.1,Micrococcus sp. XM4230A
GCA_027923585.1,Philodulcilactobacillus myokoensis
GCA_025454395.1,Elainella sp. Prado103
GCA_025454305.1,Cyanobium sp. Prado107
GCA_025454375.1,Leptolyngbya sp. Prado105
GCA_025454405.1,Oscillatoriaceae cyanobacterium Prado104
GCA_025454445.1,Oscillatoria sp. Prado101
GCA_025454425.1,Hydrococcus sp. Prado102
GCA_025454315.1,Oculatellaceae cyanobacterium Prado106
GCA_022832475.1,Bacillus sp. B19-2
GCA_024606005.1,Acinetobacter sp. YH12068_T
GCA_024605895.1,Acinetobacter sp. YH16056_T
GCA_022810315.1,Pseudomonas marianensis
GCA_024605785.1,Acinetobacter sp. YH16040_T
GCA_022810765.1,Winogradskyella sp. MH6
GCA_022828975.1,Acinetobacter sp. NyZ410
GCA_024520845.1,Pantoea sp. Ft+CA_17
GCA_024520875.1,Pantoea sp. Ft-CA_14
GCA_024520835.1,Pantoea sp. Fr+CA_20
GCA_024520895.1,Pantoea sp. Fr-CA_6
GCA_023488045.1,Acinetobacter sp. ANC5681
GCA_028464225.1,Zeaxanthinibacter sp. PT1
GCA_028464115.1,Robiginitalea sp. SP8
GCA_028464245.1,Robiginitalea sp. PM2
GCA_028464265.1,Muricauda sp. SP22
GCA_028464105.1,Muricauda sp. SK9
GCA_028464185.1,Muricauda sp. AC10
GCA_028464205.1,Maribacter sp. PR66
GCA_028464145.1,Maribacter sp. PR1
GCA_023347255.1,Faecalibacterium sp. I4-3-84
GCA_023347235.1,Faecalibacterium sp. I4-1-79
GCA_023347275.1,Faecalibacterium sp. I3-3-89
GCA_023347295.1,Faecalibacterium sp. I3-3-33
GCA_023347535.1,Faecalibacterium sp. HTF-F
GCA_023347315.1,Faecalibacterium sp. I2-3-92
GCA_023347335.1,Faecalibacterium sp. IP-3-29
GCA_023347355.1,Faecalibacterium sp. IP-1-18
GCA_023111095.1,Maribellus sp. YY47
GCA_022968795.1,Desulfatitalea alkaliphila
GCA_025561445.1,Staphylococcus sp. IVB6181
GCA_022815495.1,Rathayibacter sp. VKM Ac-2929
GCA_022815545.1,Rathayibacter sp. VKM Ac-2928
GCA_022815525.1,Rathayibacter sp. VKM Ac-2927
GCA_022815565.1,Rathayibacter sp. VKM Ac-2926
GCA_022815605.1,Microbacterium sp. VKM Ac-2923
GCA_022815645.1,Curtobacterium sp. VKM Ac-2922
GCA_022832675.1,Pseudodesulfovibrio sp. S3-i
GCA_023161605.1,Fusibacter sp. A2
GCA_022808215.1,Pseudomonas sp. JI-2
GCA_022808245.1,Vibrio sp. CCB-PB317
GCA_023161785.1,Bacillus sp. 2CMS4F
GCA_023161665.1,Shewanella sp. 1CM18E
GCA_023161645.1,Vibrio sp. 1CM7H
GCA_023161685.1,Vibrio sp. 1CM8B
GCA_023161695.1,Vibrio sp. 1CM2L
GCA_023161725.1,Vibrio sp. 1CM24A
GCA_023161755.1,Vibrio sp. 1CM23M
GCA_023161745.1,Cobetia sp. 1CM21F
GCA_023161805.1,Pseudoalteromonas sp. 1CM17D
GCA_940143175.1,Erysipelothrix sp. A18Y020d
GCA_022690565.1,Staphylococcus sp. acrmy
GCA_023242435.1,Pseudomonas sp. 13-2922
GCA_023242545.1,Pseudomonas sp. MWU13-2517
GCA_023242495.1,Pseudomonas sp. MWU13-2862
GCA_023242465.1,Pseudomonas sp. MWU12-3091
GCA_023242525.1,Pseudomonas sp. MWU12-2319
GCA_022815725.1,Streptomyces sp. APSN-46.1
GCA_022808175.1,Streptomyces sp. AP-93
GCA_023100615.1,Pseudomonas sp. MWU12-3103b
GCA_023100605.1,Pseudomonas sp. MWU12-2020
GCA_022810425.1,Rhodococcus sp. ARC_M13
GCA_022810385.1,Rhodococcus sp. ARC_M12
GCA_022810365.1,Rhodococcus sp. ARC_M8
GCA_022810305.1,Rhodococcus sp. ARC_M6
GCA_022810405.1,Rhodococcus sp. ARC_M5
GCA_024330265.1,Pyrinomonadaceae bacterium MAG19_C2-C3
GCA_024330215.1,Candidatus Gaiellasilicea maunaloa
GCA_024330185.1,Candidatus Siliceabacter maunaloa
GCA_024579725.1,Streptococcus sp. O1
GCA_024579715.1,Streptococcus sp. B01
GCA_023516765.1,Pseudomonas sp. R3.Fl
GCA_023516795.1,Pseudomonas sp. R2.Fl
GCA_023516815.1,Kosakonia sp. R1.Fl
GCA_023516755.1,Klebsiella sp. T2.Ur
GCA_023516725.1,Pseudomonas sp. T1.Ur
GCA_022881675.1,Priestia sp. OVS21
GCA_022836915.1,Paenibacillus sp. OVF10
GCA_022881685.1,Priestia sp. OVL9
GCA_023242345.1,Pseudomonas sp. MWU12-2037
GCA_023242385.1,Pseudomonas sp. MWU12-2345
GCA_023242405.1,Pseudomonas sp. MWU12-3088
GCA_022891855.1,"Salmonella enterica subsp. enterica serovar O Rough:g,m:-"
GCA_022891715.1,Salmonella enterica subsp. enterica serovar O Rough:H Nonmotile
GCA_022896555.1,"Salmonella enterica subsp. enterica serovar Rough:r:1,2"
GCA_016519025.1,"Salmonella enterica subsp. enterica serovar 4,5,12:i:-"
GCA_022865125.1,Acuticoccus sp. I52.16.1
GCA_947311855.1,Halobacillus sp. Cin3
GCA_022809835.2,Bacillus sp. ZJS3
GCA_022760445.1,Cryobacterium zhongshanensis
GCA_030656285.1,Syntrophales bacterium
GCA_022748145.1,Bacillus sp. CCB-MMP212
GCA_025774765.1,candidate division LCP-89 bacterium
GCA_030295425.1,Mesoterricola sediminis
GCA_030295405.1,Mesoterricola silvestris
GCA_030268085.1,Geothrix limicola
GCA_030268065.1,Geothrix rubra
GCA_030268045.1,Geothrix edaphica
GCA_030295385.1,Geothrix oryzae
GCA_025362495.1,Byssovorax sp.
GCA_937930555.1,Candidatus Absconditabacterales bacterium
GCA_024396695.1,Acidithiobacillus sp. YTS05
GCA_022807935.1,Streptomyces sp. HP-A2021
GCA_030128805.1,Klebsiella sp. K6-322
GCA_030128255.1,Klebsiella sp. K6-243
GCA_030128275.1,Klebsiella sp. K6-183
GCA_030128305.1,Klebsiella sp. K6-148
GCA_030128315.1,Klebsiella sp. K6-138.1
GCA_023667625.1,Actinomyces sp. 187325
GCA_023667585.1,Actinomyces sp. 217892
GCA_028462495.1,Paucibacter sp. XJ19-41
GCA_023242425.1,Pseudomonas sp. MWU12-2029
GCA_024267675.1,Marinobacterium sedimentorum
GCA_022698285.1,Streptomyces sp. AN091965
GCA_022808325.1,Lysobacter sedimenti
GCA_022749575.1,Comamonas sp. 7D-2evo2
GCA_022749535.1,Comamonas sp. 7D-2evo1
GCA_030028905.1,Fererhizobium litorale
GCA_022748595.1,Brevibacterium sp. ZH18
GCA_022698165.1,Streptomyces cylindrosporus
GCA_022698145.1,Streptomyces spinosisporus
GCA_028439565.1,Candidatus Manganitrophus sp.
GCA_024135805.1,Akkermansia massiliensis
GCA_022758295.1,Lysobacter sp. CFH 32150
GCA_023555435.1,Polaribacter sp. Z014
GCA_023555495.1,Polaribacter sp. Z022
GCA_023507765.1,Chromobacterium sp. IRSSSOUMB001
GCA_024586575.1,Chryseobacterium sp. WG23
GCA_024586945.1,Chryseobacterium sp. WG14
GCA_022699165.1,Paenibacillus sp. TRM 82003
GCA_022807975.1,Abyssalbus ytuae
GCA_023015815.1,Gelidibacter sp. F2691
GCA_022690845.1,Shewanella sp. N2AIL
GCA_023015935.1,Flavobacteriaceae bacterium F08102
